Date,Open,High,Low,Close,Adj Close,Volume
2020-11-09,13.000000,13.300000,10.360000,10.710000,10.710000,11354100
2020-11-16,10.980000,11.630000,10.400000,11.230000,11.230000,6701200
2020-11-23,11.380000,12.580000,11.250000,12.270000,12.270000,4883800
2020-11-30,12.200000,13.200000,11.980000,12.980000,12.980000,7420000
2020-12-07,13.000000,14.460000,12.570000,13.410000,13.410000,7095400
2020-12-14,13.410000,15.770000,13.080000,14.890000,14.890000,7358000
2020-12-21,14.900000,15.400000,13.920000,14.030000,14.030000,3846400
2020-12-28,14.160000,14.410000,13.120000,13.120000,13.120000,8772700
2021-01-04,13.200000,16.440001,12.790000,16.260000,16.260000,11117400
2021-01-11,15.970000,16.360001,15.050000,15.620000,15.620000,5875700
2021-01-18,16.020000,16.500000,15.330000,16.000000,16.000000,3654500
2021-01-25,15.890000,16.990000,14.040000,14.200000,14.200000,8662300
2021-02-01,14.270000,16.889999,13.920000,16.639999,16.639999,7034100
2021-02-08,16.799999,18.400000,16.660000,18.110001,18.110001,6134600
2021-02-15,18.150000,18.940001,17.469999,18.250000,18.250000,4799800
2021-02-22,17.969999,18.590000,13.980000,15.080000,15.080000,12717100
2021-03-01,15.250000,15.710000,12.890000,14.680000,14.680000,10020000
2021-03-08,14.580000,17.020000,14.430000,16.600000,16.600000,9066500
2021-03-15,16.430000,17.450001,15.210000,15.820000,15.820000,7958600
2021-03-22,15.890000,15.990000,13.970000,15.250000,15.250000,5510100
2021-03-29,15.140000,15.750000,14.670000,15.720000,15.720000,4362300
2021-04-05,16.010000,16.049999,15.190000,15.480000,15.480000,5163900
2021-04-12,15.370000,15.990000,15.010000,15.720000,15.720000,4386100
2021-04-19,15.470000,15.530000,14.290000,15.290000,15.290000,4039400
2021-04-26,15.250000,17.920000,15.060000,17.280001,17.280001,10025000
2021-05-03,17.469999,18.150000,16.950001,17.950001,17.950001,8585400
2021-05-10,17.850000,18.170000,16.650000,17.860001,17.860001,5470000
2021-05-17,18.770000,19.299999,17.620001,18.280001,18.280001,5251100
2021-05-24,18.549999,19.490000,17.250000,17.709999,17.709999,14761000
2021-05-31,17.750000,18.070000,17.350000,17.700001,17.700001,5581100
2021-06-07,17.700001,18.740000,17.480000,17.860001,17.860001,6467300
2021-06-14,17.940001,17.990000,16.850000,17.110001,17.110001,6230000
2021-06-21,17.290001,18.059999,17.049999,17.670000,17.670000,5360500
2021-06-28,17.680000,19.250000,17.389999,18.750000,18.750000,9752100
2021-07-05,18.690001,18.690001,17.420000,18.230000,18.230000,5011100
2021-07-12,18.040001,18.709999,16.799999,17.059999,17.059999,9618200
2021-07-19,16.580000,18.059999,16.139999,17.870001,17.870001,6060200
2021-07-26,18.080000,19.600000,17.389999,17.719999,17.719999,6829700
2021-08-02,18.010000,18.290001,16.709999,17.299999,17.299999,7202900
2021-08-09,17.139999,17.660000,16.719999,17.370001,17.370001,6193200
2021-08-16,17.170000,17.280001,16.170000,16.820000,16.820000,6745000
2021-08-23,17.040001,17.820000,16.809999,17.790001,17.790001,4921000
2021-08-30,17.969999,18.920000,17.430000,18.670000,18.670000,8994400
2021-09-06,18.730000,18.969999,17.420000,17.459999,17.459999,3768400
2021-09-13,17.690001,17.730000,16.400000,17.139999,17.139999,9422900
2021-09-20,16.530001,18.570000,16.469999,18.379999,18.379999,7707700
2021-09-27,18.450001,19.020000,17.500000,18.040001,18.040001,4585100
2021-10-04,18.010000,19.879999,17.320000,18.920000,18.920000,6696500
2021-10-11,19.120001,21.030001,18.780001,19.990000,19.990000,6674200
2021-10-18,19.690001,20.850000,19.190001,19.280001,19.280001,4905300
2021-10-25,19.180000,19.940001,17.260000,17.320000,17.320000,10109900
2021-11-01,17.320000,18.350000,17.240000,17.980000,17.980000,7562100
2021-11-08,18.170000,18.450001,17.100000,17.350000,17.350000,6583400
2021-11-15,17.459999,17.600000,15.960000,15.990000,15.990000,5225800
2021-11-22,16.190001,16.459999,15.040000,15.710000,15.710000,4263600
2021-11-29,15.890000,15.970000,14.820000,15.480000,15.480000,7299200
2021-12-06,15.760000,16.580000,15.590000,16.299999,16.299999,4963800
2021-12-13,16.160000,16.360001,15.360000,15.890000,15.890000,9040200
2021-12-20,16.070000,17.309999,15.440000,16.930000,16.930000,3442800
2021-12-27,16.830000,17.260000,16.660000,16.809999,16.809999,4327300
2022-01-03,16.980000,17.549999,16.070000,16.170000,16.170000,4272900
2022-01-10,16.100000,17.490000,16.070000,16.969999,16.969999,4246200
2022-01-17,16.700001,16.840000,15.630000,15.840000,15.840000,3990000
2022-01-24,15.530000,16.540001,14.810000,15.720000,15.720000,7199100
2022-01-31,15.570000,17.240000,15.570000,16.459999,16.459999,4022300
2022-02-07,16.450001,17.490000,16.309999,17.400000,17.400000,4907300
2022-02-14,17.430000,20.590000,17.180000,19.070000,19.070000,9966200
2022-02-21,19.120001,19.120001,17.459999,18.250000,18.250000,6671700
2022-02-28,17.930000,18.750000,16.830000,17.010000,17.010000,7059600
2022-03-07,17.040001,17.110001,14.920000,15.490000,15.490000,5664500
2022-03-14,15.620000,17.320000,15.250000,17.030001,17.030001,5373500
2022-03-21,17.030001,17.090000,15.700000,15.890000,15.890000,5181100
2022-03-28,15.900000,16.690001,15.310000,15.540000,15.540000,4930400
2022-04-04,15.630000,16.260000,12.950000,13.440000,13.440000,8190800
2022-04-11,13.450000,14.270000,13.010000,13.320000,13.320000,6625100
2022-04-18,13.260000,13.970000,13.120000,13.260000,13.260000,5113400
2022-04-25,13.020000,13.380000,10.940000,10.960000,10.960000,11384400
2022-05-02,10.880000,11.860000,10.880000,11.210000,11.210000,8782000
2022-05-09,11.000000,11.220000,9.720000,10.920000,10.920000,9566500
2022-05-16,10.810000,11.950000,10.810000,11.340000,11.340000,11685500
2022-05-23,11.450000,13.030000,10.970000,12.790000,12.790000,9737800
2022-05-30,12.520000,12.680000,11.950000,11.980000,11.980000,5061900
2022-06-06,12.160000,12.340000,10.950000,10.960000,10.960000,5565500
2022-06-13,10.470000,10.630000,9.060000,9.340000,9.340000,9392900
2022-06-20,9.680000,10.560000,9.270000,10.310000,10.310000,6492200
2022-06-27,10.400000,10.470000,9.360000,10.430000,10.430000,5390300
2022-07-04,10.120000,10.950000,10.030000,10.500000,10.500000,4256500
2022-07-11,10.370000,10.520000,9.600000,10.190000,10.190000,4646900
2022-07-18,10.320000,10.800000,10.050000,10.610000,10.610000,4695100
2022-07-25,10.690000,10.720000,9.330000,9.930000,9.930000,6297800
2022-08-01,9.760000,11.020000,9.580000,10.890000,10.890000,7556600
2022-08-08,11.110000,12.920000,11.110000,12.880000,12.880000,5803300
2022-08-15,12.780000,12.960000,11.260000,11.370000,11.370000,4153800
2022-08-22,11.120000,11.730000,10.700000,10.700000,10.700000,5603600
2022-08-29,10.610000,10.900000,9.350000,9.480000,9.480000,6114700
2022-09-05,9.510000,10.010000,8.680000,9.970000,9.970000,6217100
2022-09-12,10.140000,10.360000,8.810000,9.020000,9.020000,7530300
2022-09-19,8.930000,9.380000,8.090000,8.320000,8.320000,5940300
2022-09-26,8.240000,8.810000,7.980000,8.110000,8.110000,7637400
2022-10-03,8.370000,9.070000,7.750000,7.760000,7.760000,6851200
2022-10-10,7.740000,8.300000,7.470000,7.490000,7.490000,5309900
2022-10-17,7.720000,8.320000,6.950000,7.350000,7.350000,6794300
2022-10-24,7.360000,8.150000,6.870000,7.900000,7.900000,7854700
2022-10-31,7.660000,7.740000,6.600000,6.730000,6.730000,7639700
2022-11-07,6.720000,7.870000,6.380000,7.790000,7.790000,11683600
2022-11-14,7.670000,7.760000,6.460000,6.580000,6.580000,7875000
2022-11-21,6.550000,6.850000,6.090000,6.840000,6.840000,4898800
2022-11-28,6.700000,8.020000,6.650000,7.720000,7.720000,8648500
2022-12-05,7.690000,7.700000,6.970000,7.000000,7.000000,4429600
2022-12-12,6.950000,8.330000,6.900000,7.140000,7.140000,8939300
2022-12-19,7.090000,7.240000,6.200000,6.320000,6.320000,5694300
2022-12-26,6.320000,6.440000,5.820000,6.390000,6.390000,4448700
2023-01-02,6.600000,7.040000,6.450000,6.940000,6.940000,6091100
2023-01-09,7.050000,8.220000,6.820000,8.210000,8.210000,8153100
2023-01-16,8.310000,8.430000,7.640000,8.020000,8.020000,4047800
2023-01-23,8.070000,8.290000,7.890000,7.930000,7.930000,1582100
2023-01-24,7.985000,8.190000,7.895000,7.930000,7.930000,559899
